ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.722031,0.790356,0.094629,0,0,536,0,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.72084,0.792875,0.099932,0,0,536,0.0001,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.734899,0.792408,0.078255,0,0,536,0.0002,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.735862,0.786234,0.068453,0,0,536,0.0003,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.727255,0.789416,0.085473,0,0,536,0.0004,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.731312,0.78566,0.074315,0,0,536,0.0005,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.723208,0.787306,0.08863,0,0,536,0.0006,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.71941,0.784407,0.090349,0,0,536,0.0007,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.727657,0.785246,0.079144,0,0,536,0.0008,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.735135,0.788438,0.072508,0,0,536,0.0009,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.733552,0.784699,0.069724,0,0,536,0.001,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.734278,0.777069,0.058276,0,0,536,0.002,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.721595,0.765708,0.061133,0,0,536,0.003,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.726858,0.76073,0.046601,0,0,536,0.004,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.709976,0.763434,0.075295,0,0,536,0.005,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.701855,0.742345,0.057691,0,0,536,0.006,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.722448,0.749862,0.037947,0,0,536,0.007,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.70492,0.746992,0.059684,0,0,536,0.008,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.714128,0.743138,0.040622,0,0,536,0.009,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras','P-CS-DTJWZC3',1.47391325,0.698072,0.726332,0.040483,0,0,536,0.01,0,100,relu,relu,31,he_normal,0.1,binary_crossentropy,3,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
